order_id,product_id,quantity,total_price
1,41791,3,101.43
1,5595,2,755.26
1,67489,3,401.67
2,20473,3,975.69
2,46229,1,25.84
2,106525,1,185.49
2,59576,3,1245.75
3,97240,2,781.62
3,31472,2,123.42
3,146849,1,391.62
3,10932,2,333.62
4,103591,2,868.5
4,118408,2,264.44
4,97908,1,176.82
5,109710,2,588.74
5,129693,3,253.53000000000003
5,108090,2,485.3
5,141013,1,149.92
6,17339,2,463.1
6,138044,1,417.33
6,25593,2,541.44
6,89777,1,486.92
7,60267,1,386.94
7,99694,2,270.24
7,22637,1,938.04
7,121696,3,65.16
8,97515,1,362.56
8,74427,2,100.96
8,70958,1,157.38
8,30074,2,817.46
9,112587,2,685.3
9,98413,3,658.47
9,127789,1,194.66
9,65348,1,439.48
11,104815,1,273.34
11,8410,2,530.88
11,124903,3,1471.11
12,121268,1,411.31
12,134723,3,594.6899999999999
12,98834,1,331.11
13,117048,1,106.04
13,74859,1,302.39
13,80016,2,455.9
13,37228,3,138.57
14,135346,3,702.03
14,46065,1,292.96
14,117687,1,274.45
15,57128,1,52.89
15,48676,2,800.86
16,51967,2,385.22
16,49134,3,78.96000000000001
16,73012,2,246.3
17,55131,2,317.76
17,87078,1,433.48
18,146735,1,273.72
18,95703,2,241.08
18,113958,3,215.76
19,40124,3,0.0
19,130281,2,0.0
20,87314,1,156.75
20,89140,2,316.0
20,98552,3,677.01
21,74187,1,101.02
21,105250,3,897.72
22,79933,2,538.54
22,13366,2,208.64
22,29719,3,61.92
22,108929,3,426.09
22,96797,2,628.4
23,87221,1,95.06
23,123658,2,953.84
23,63443,1,301.32
23,14053,3,1088.76
23,86710,1,439.22
24,143431,1,354.82
24,129540,1,223.82
24,122170,1,58.03
24,67295,1,281.2
25,95705,2,748.6
25,26300,3,318.03000000000003
26,17798,2,895.22
27,147148,2,299.02
27,54276,2,166.92
27,104786,3,666.33
27,130049,3,924.81
28,14205,3,973.41
29,117686,2,840.48
29,148229,1,117.69
30,117489,3,453.78
30,49028,3,868.98
30,87417,2,898.5
31,84859,3,1013.01
31,66571,3,874.0500000000001
32,117095,3,1144.38
32,63548,1,63.88
32,95457,1,486.05
33,100049,1,403.72
33,48324,1,205.94
33,104277,1,427.18
33,78002,3,634.05
34,146319,2,721.08
35,78666,2,934.8
35,2807,3,401.28
35,64649,3,346.11
35,137638,2,153.88
35,22591,1,399.96
36,140788,2,815.34
36,139915,2,724.02
36,36594,2,110.62
36,45017,2,675.14
36,20967,1,235.91
37,29329,3,243.48
37,14037,1,39.08
37,131679,2,877.58
37,81566,1,425.01
37,52729,3,524.37
38,1785,3,1385.88
38,81947,2,769.4
38,98394,1,336.27
40,4571,2,925.7
41,98146,1,494.5
41,122758,1,192.61
42,135760,1,473.16
42,15707,2,905.54
42,103480,2,141.7
42,59064,2,294.5
43,116404,3,788.5500000000001
44,126961,1,416.57
44,91114,1,261.13
44,73873,3,1179.15
45,53830,3,1488.6
45,130877,2,444.84
45,67641,3,1264.98
47,136104,1,219.97
48,76544,2,719.16
48,72944,2,368.32
48,20767,1,53.39
48,109540,2,361.44
49,80085,2,694.64
50,92188,1,229.22
50,77151,3,1024.86
50,21214,2,466.98
51,138878,2,0.0
51,99631,3,1354.92
51,136057,3,654.12
51,84052,2,688.58
52,16461,1,477.28
52,79633,2,669.08
52,50843,3,1221.78
52,86056,2,153.94
53,108994,1,164.31
53,87089,1,308.38
53,108180,1,328.46
53,60840,3,138.66
54,98665,3,1003.8
54,121994,2,250.26
55,81457,1,434.73
55,128969,2,848.38
56,68906,2,704.24
56,69910,1,148.71
57,126886,3,221.97
57,20795,3,1274.13
58,51,1,19.5
58,96344,3,693.63
59,15039,2,365.7
60,17334,2,744.2
60,111107,3,974.46
61,135079,3,1385.43
61,148126,3,330.72
62,127742,1,69.01
62,76703,1,254.39
63,119363,2,649.06
63,38907,3,305.16
63,79432,1,203.23
63,81254,1,454.42
63,137004,1,171.12
64,982,2,284.22
64,105992,3,815.8799999999999
64,79857,2,536.56
65,54845,1,62.41
66,76980,1,301.21
67,130925,3,272.25
67,103504,1,330.25
68,16689,1,402.17
69,33848,2,737.32
69,114622,3,1359.87
69,55797,2,816.58
69,58348,1,422.91
70,97043,3,871.4100000000001
70,132739,3,448.35
70,59915,2,425.78
71,54070,3,947.94
72,33474,2,665.34
72,128806,2,625.94
73,22749,1,151.08
73,64234,3,1471.71
73,82415,1,430.41
73,129447,2,618.32
74,69908,3,531.3
74,79297,2,843.86
74,54889,1,334.11
75,66039,2,830.74
75,135275,2,929.04
75,145382,2,470.56
75,20108,1,843.84
75,92357,1,477.56
76,74853,1,495.12
77,3885,1,239.03
77,78051,1,20.56
77,43769,3,591.75
77,35421,2,371.62
78,95422,3,1327.74
78,127685,2,375.88
78,118140,2,323.64
78,26348,2,832.44
78,98584,1,0.0
79,83268,1,198.18
80,96404,3,954.99
81,28665,3,110.16
82,26885,3,877.53
82,50535,1,107.79
82,94906,2,184.86
82,149349,1,319.9
83,8129,1,161.0
83,93070,1,370.97
83,12940,2,693.8
83,87186,3,398.31000000000006
84,2463,3,57.510000000000005
84,53024,3,784.47
85,74711,2,657.86
86,123929,3,471.33
86,13919,2,330.42
86,5510,1,422.72
86,1678,1,0.0
87,28476,1,0.0
87,107127,1,424.19
87,25584,2,489.92
87,136016,3,237.78000000000003
88,1854,1,264.4
89,29437,3,1398.6
89,71348,1,333.96
89,26241,2,451.62
89,136274,2,800.5
89,146202,1,159.89
90,79212,1,104.67
90,115906,2,705.12
91,67808,1,447.08
91,27408,2,813.72
91,36884,1,200.74
92,68482,1,341.27
92,48285,2,524.42
92,65091,2,164.64
92,101726,1,424.8
92,14185,1,0.0
93,8167,1,141.58
93,125050,2,733.4
93,77727,3,1315.77
93,49306,2,41.36
93,29544,3,104.82
95,110019,1,58.53
95,139132,1,29.22
95,137203,2,154.72
96,64320,3,1118.73
96,36532,3,753.75
96,118730,1,0.0
96,3861,1,114.62
97,35784,1,433.01
98,144068,2,969.08
98,140683,3,306.69
98,52295,3,112.98
99,103813,2,367.16
99,130392,3,210.96
99,51575,1,252.6
99,28707,2,80.8
100,143398,3,1350.51
101,894,1,86.51
101,40861,1,372.27
102,133454,3,1179.21
102,37749,2,0.0
103,10865,3,1156.98
103,119247,2,152.34
103,97147,3,1139.01
103,69489,3,1406.25
103,26618,3,1288.53
104,2838,3,1193.46
105,112292,1,137.47
106,49654,2,503.62
107,139171,1,60.94
108,26289,3,1199.61
109,4045,3,452.61
109,58887,3,551.16
110,23444,2,266.5
110,29342,1,419.18
110,98257,1,29.21
111,16110,2,720.74
111,106196,1,452.41
111,139116,2,105.44
111,139558,1,156.48
112,139392,1,239.53
113,58708,1,276.01
113,148298,1,997.65
113,2702,3,1310.07
113,18760,2,84.52
114,41542,3,575.76
114,51114,3,870.54
115,39533,3,979.56
116,12157,2,315.04
116,132267,3,694.59
118,120061,2,128.22
118,140756,2,306.54
118,140677,3,234.57
118,97973,1,124.22
119,12522,1,68.76
119,88440,1,232.94
119,72110,2,792.14
120,124224,1,266.86
120,70099,3,887.79
121,28265,3,751.89
121,118461,3,55.05
121,14763,2,229.1
122,76728,3,957.09
122,33402,3,336.33
122,15146,2,606.34
122,106022,2,853.12
123,122433,2,161.82
123,117195,1,180.73
124,73487,1,78.85
124,116272,1,117.08
124,105766,1,85.06
124,145398,1,259.78
125,133382,2,404.74
125,42091,2,121.18
125,134264,1,0.0
126,58277,2,464.1
126,43380,2,470.2
126,57421,1,132.32
127,70259,2,347.22
127,80686,2,53.66
127,51991,1,243.56
127,131014,2,789.86
128,99835,3,494.13
