order_id,customer_id,order_date,order_status
1,680,2024-02-26 00:00:00,Pendente
2,5219,2024-05-31 00:00:00,Pendente
3,9403,2024-07-02 00:00:00,Cancelado
4,1685,2024-04-28 00:00:00,Enviado
5,552,2024-03-17 00:00:00,Entregue
6,4963,2024-07-05 00:00:00,Pendente
7,7355,2024-04-23 00:00:00,Cancelado
8,6565,Unknown,Pago
9,2278,2024-06-30 00:00:00,Entregue
10,9309,2024-06-27 00:00:00,Pago
11,7535,2024-07-04 00:00:00,Entregue
12,7953,2024-04-13 00:00:00,Enviado
13,7301,2024-01-05 00:00:00,Pago
14,8758,2024-05-31 00:00:00,Pago
15,9785,2024-03-10 00:00:00,Pago
16,3615,2024-07-25 00:00:00,Entregue
17,9279,2024-06-25 00:00:00,Pendente
18,8913,2024-03-16 00:00:00,Entregue
19,2166,2024-07-19 00:00:00,Enviado
20,2390,2024-04-26 00:00:00,Enviado
21,2869,2024-01-29 00:00:00,Enviado
22,5126,2024-03-14 00:00:00,Pago
23,2192,2024-03-17 00:00:00,Enviado
24,1119,2024-05-22 00:00:00,Pendente
25,1576,2024-01-24 00:00:00,Pendente
26,2630,2024-03-03 00:00:00,Pago
27,5536,2024-01-23 00:00:00,Entregue
28,8618,2024-04-17 00:00:00,Pago
29,6091,2024-03-12 00:00:00,Pago
30,6346,2024-07-15 00:00:00,Pendente
31,1372,2024-01-25 00:00:00,Pago
32,6060,2024-03-01 00:00:00,Pago
33,3823,2024-04-28 00:00:00,Cancelado
34,390,2024-05-18 00:00:00,Entregue
36,3797,2024-07-27 00:00:00,Pago
37,7660,2024-07-03 00:00:00,Enviado
38,7913,2024-03-12 00:00:00,Enviado
39,5409,2024-06-29 00:00:00,Pendente
40,593,2024-02-26 00:00:00,Pago
41,7978,2024-05-22 00:00:00,Pendente
42,9261,2024-04-14 00:00:00,Pago
43,4908,2024-03-09 00:00:00,Enviado
44,6798,2024-04-18 00:00:00,Pago
45,3752,2024-06-21 00:00:00,Pago
47,3464,2024-07-19 00:00:00,Pago
48,4573,2024-04-01 00:00:00,Enviado
49,5086,2024-03-25 00:00:00,Pago
50,1291,2024-02-03 00:00:00,Pago
51,1850,2024-04-15 00:00:00,Pendente
52,8425,2024-03-08 00:00:00,Pendente
53,5009,Unknown,Pago
54,7816,2024-04-10 00:00:00,Enviado
55,1742,2024-06-21 00:00:00,Pago
56,1429,2024-02-28 00:00:00,Pago
57,6413,2024-01-05 00:00:00,Enviado
59,8636,2024-01-02 00:00:00,Pago
60,2206,2024-04-25 00:00:00,Pendente
61,8615,2024-06-20 00:00:00,Pago
62,5671,2024-01-26 00:00:00,Enviado
63,1423,2024-04-20 00:00:00,Pendente
64,4103,2024-04-03 00:00:00,Pago
65,2109,2024-04-14 00:00:00,Pago
66,6101,2024-06-12 00:00:00,Enviado
67,4851,2024-07-13 00:00:00,Entregue
68,1782,2024-06-17 00:00:00,Pago
69,371,Unknown,Entregue
70,765,2024-04-15 00:00:00,Pago
71,3972,2024-02-27 00:00:00,Pago
72,6197,2024-07-27 00:00:00,Pago
73,6339,2024-01-26 00:00:00,Entregue
74,5748,2024-05-29 00:00:00,Entregue
75,570,2024-07-17 00:00:00,Entregue
76,6299,2024-06-18 00:00:00,Pago
77,1121,2024-03-02 00:00:00,Pago
78,6782,2024-03-04 00:00:00,Pago
79,556,2024-05-03 00:00:00,Entregue
80,9574,2024-02-10 00:00:00,Pendente
81,4831,2024-05-16 00:00:00,Pago
82,8061,Unknown,Enviado
83,6603,2024-01-31 00:00:00,Entregue
84,7826,2024-07-19 00:00:00,Pago
85,2297,2024-06-15 00:00:00,Pago
87,5916,2024-01-16 00:00:00,Pendente
88,8936,2024-01-13 00:00:00,Entregue
89,9145,2024-06-04 00:00:00,Enviado
90,6005,2024-06-08 00:00:00,Pago
91,921,2024-05-01 00:00:00,Entregue
93,9398,2024-02-05 00:00:00,Cancelado
94,8194,2024-03-08 00:00:00,Cancelado
95,2868,2024-02-17 00:00:00,Entregue
97,9726,2024-01-31 00:00:00,Enviado
98,2413,2024-05-21 00:00:00,Pendente
99,6051,2024-05-10 00:00:00,Pendente
100,9596,2024-02-24 00:00:00,Enviado
101,6407,2024-02-08 00:00:00,Pago
102,910,2024-07-20 00:00:00,Pendente
103,1980,2024-05-20 00:00:00,Pago
104,2727,2024-01-17 00:00:00,Pendente
105,9970,2024-07-17 00:00:00,Enviado
106,5149,2024-07-11 00:00:00,Pago
107,8865,2024-02-07 00:00:00,Entregue
108,8885,2024-03-21 00:00:00,Pago
109,7958,2024-06-16 00:00:00,Pago
110,3453,2024-03-20 00:00:00,Enviado
112,5196,2024-02-23 00:00:00,Pendente
114,7506,2024-05-12 00:00:00,Cancelado
115,5146,2024-01-14 00:00:00,Entregue
116,3978,Unknown,Entregue
117,5946,2024-05-16 00:00:00,Pago
118,7389,2024-05-06 00:00:00,Pendente
119,1811,2024-02-01 00:00:00,Pago
120,7462,2024-01-11 00:00:00,Enviado
121,2911,2024-06-10 00:00:00,Entregue
122,7534,2024-04-10 00:00:00,Pago
123,3833,2024-06-21 00:00:00,Entregue
124,3113,2024-07-19 00:00:00,Pendente
125,1251,2024-05-01 00:00:00,Cancelado
126,2931,2024-02-19 00:00:00,Enviado
127,8262,2024-03-07 00:00:00,Pago
128,6471,2024-03-24 00:00:00,Entregue
129,1801,2024-02-17 00:00:00,Pago
130,9220,Unknown,Pago
132,8924,Unknown,Pago
134,5489,2024-05-20 00:00:00,Pago
136,6683,Unknown,Entregue
137,282,2024-06-05 00:00:00,Pendente
138,6411,2024-05-12 00:00:00,Pago
139,211,2024-06-25 00:00:00,Pendente
140,1473,2024-01-04 00:00:00,Pago
141,4658,2024-03-27 00:00:00,Pago
142,8864,2024-02-14 00:00:00,Pago
143,4152,2024-05-12 00:00:00,Entregue
144,4438,2024-07-27 00:00:00,Pago
145,5866,2024-04-30 00:00:00,Entregue
146,7685,2024-03-01 00:00:00,Pago
147,5879,2024-02-08 00:00:00,Pendente
148,9587,2024-05-17 00:00:00,Pago
149,3409,2024-04-25 00:00:00,Cancelado
150,9916,2024-01-09 00:00:00,Pago
151,6034,2024-01-12 00:00:00,Pago
152,9166,2024-04-12 00:00:00,Pago
153,7989,2024-04-30 00:00:00,Pago
154,8740,2024-06-09 00:00:00,Pago
155,1153,2024-07-03 00:00:00,Pago
157,2711,Unknown,Pago
158,9221,2024-04-18 00:00:00,Pago
159,1278,2024-07-20 00:00:00,Pendente
160,6110,2024-01-23 00:00:00,Enviado
161,6602,2024-03-21 00:00:00,Pendente
162,5135,2024-06-06 00:00:00,Pago
164,3424,2024-04-03 00:00:00,Pendente
165,3538,2024-01-10 00:00:00,Enviado
166,3269,2024-05-26 00:00:00,Cancelado
167,1091,Unknown,Pago
168,2426,2024-07-20 00:00:00,Pendente
169,1921,Unknown,Entregue
170,4286,2024-04-09 00:00:00,Entregue
171,5285,Unknown,Pago
172,267,2024-04-03 00:00:00,Entregue
173,6841,2024-02-06 00:00:00,Pendente
174,9649,2024-02-08 00:00:00,Pago
175,8699,2024-05-28 00:00:00,Entregue
177,6435,2024-05-31 00:00:00,Pendente
178,8055,2024-03-18 00:00:00,Pendente
179,3378,2024-03-11 00:00:00,Pago
180,4659,2024-01-14 00:00:00,Enviado
181,3682,2024-01-02 00:00:00,Entregue
182,2229,2024-05-22 00:00:00,Pago
183,6686,2024-05-29 00:00:00,Pendente
184,737,2024-01-08 00:00:00,Pago
185,2012,2024-03-09 00:00:00,Pago
186,434,2024-05-23 00:00:00,Pago
187,9774,2024-03-17 00:00:00,Entregue
188,4843,2024-04-23 00:00:00,Entregue
189,8538,2024-04-29 00:00:00,Pago
190,591,2024-01-29 00:00:00,Pendente
191,4400,2024-01-07 00:00:00,Pago
192,6603,Unknown,Enviado
193,5734,2024-07-15 00:00:00,Pago
194,7455,2024-07-23 00:00:00,Entregue
